Respondent,Prolific_ID,Message_framing,Relational_values,NR6_score,Greenspace_visitation,Upland_visitation,Peatland_knowledge,Degraded_peatlands_before,Regenerate_peatlands_before,Degraded_peatlands_after,Regenerate_peatlands_after,Degraded_peatland_score,Regenerate_peatland_score,Behaviour_1,Behaviour_2,Behaviour_3,Behaviour_sum,Financial_donation,Financial_allocation,Medical_research,Human_rights,Animal_welfare,Vulnerable_people,Other_conservation,Financial_compost,Advert_sufficiency,ES_Manipulation,BIO_Manipulation,Relational_Manipulation,Age_midpoint,Gender,Ethnicity,IMD_decile
136,62a0dd7267e1be4d0eb1bad1,ES,Present,2.833333333,2.5,2.5,2,5,6,4,6,-1,0,6,7,6,19,1,3,5,40,20,30,2,10,7,7,7,5,29.5,Male,Other,10
137,57c426fa9fe51d00012391f1,ES,Absent,4.333333333,18,0.5,5,8,9,8,9,0,0,8,0,4,12,0,0,20,0,0,80,0,2,2,8,5,3,59.5,Female,White or Caucasian,10
138,616d8ff5eeb9a8616afa647d,BIO,Absent,3,4.5,0.5,5,7,7,7,8,0,1,6,5,6,17,0,10,50,10,10,10,10,0,7,1,7,4,59.5,Male,White or Caucasian,10
139,60381c56a3d28f19c7093147,ES,Absent,4.166666667,18,0.5,5,8,9,9,9,1,0,10,10,10,30,5,40,20,10,10,10,10,2,7,10,10,10,89.5,Female,White or Caucasian,6
140,6022caa67bff04090d2f2d06,BIO,Present,5,30.5,0,6,10,10,10,10,0,0,10,10,10,30,1,1,0,0,98,0,1,0,10,5,10,5,59.5,Female,White or Caucasian,5
141,5f0627a7bd328f15e4741792,ES,Absent,2.833333333,30.5,2.5,4,9,6,10,10,1,4,8,0,10,18,0,15,85,0,0,0,0,1,9,10,6,7,21,Male,White or Caucasian,5
142,63e22b584efd5106a9b648a5,BIO,Absent,3.833333333,4.5,0.5,5,6,9,7,9,1,0,6,7,7,20,20,20,20,20,15,10,15,5,7,10,10,10,39.5,Male,White or Caucasian,2
143,5f017162f1a82a2aeb59524d,BIO,Absent,3.833333333,1,0.5,2,7,9,7,8,0,-1,8,5,8,21,0,0,25,25,0,50,0,2,10,8,9,8,79.5,Male,White or Caucasian,9
144,623499c1de37d4c70abc20e7,BIO,Present,3.333333333,18,1,4,8,10,8,10,0,0,9,10,10,29,20,20,0,0,0,50,30,3,10,10,10,10,59.5,Female,White or Caucasian,8
145,5e14f72f557425b04528df9a,BIO,Present,3.833333333,4.5,0.5,4,8,8,8,8,0,0,9,9,7,25,1,15,24,18,15,18,10,2,7,7,10,9,29.5,Male,White or Caucasian,8
146,5e39dfdc54fca708912dfab5,ES,Absent,4.166666667,30.5,1,5,5,5,6,7,1,2,5,0,0,5,0,0,0,0,90,10,0,0,1,9,7,7,59.5,Male,White or Caucasian,8
147,5a6879cdc0d8360001081410,ES,Present,4,18,1,5,7,5,8,8,1,3,6,6,6,18,5,10,55,0,10,5,20,5,6,9,4,6,79.5,Female,White or Caucasian,4
148,5a8ad2082a842c0001fce0f2,BIO,Absent,3.5,2.5,0.5,1,8,8,9,10,1,2,8,7,5,20,1,40,20,0,20,0,0,1,7,2,9,3,29.5,Male,White or Caucasian,4
149,5bad16bfd0e97100013f49ad,BIO,Absent,3.166666667,4.5,0.5,5,5,5,7,7,2,2,7,6,5,18,0,5,5,0,0,90,0,3,6,5,7,6,49.5,Male,Other,8
150,5b6bcfdf0d296a000133293d,BIO,Absent,4.166666667,30.5,0.5,2,6,7,8,8,2,1,7,6,7,20,0,5,50,10,5,30,0,0,8,6,10,7,29.5,Male,White or Caucasian,9
151,59974ec21b3d95000121f77c,BIO,Present,3.5,2.5,0.5,4,7,9,9,0,2,-9,5,5,6,16,0,10,20,0,10,50,10,0,6,6,9,6,69.5,Male,White or Caucasian,8
152,62da6c50c44284e6e8b72ef8,ES,Present,2,1,1,5,5,5,9,8,4,3,7,6,6,19,0,0,100,0,0,0,0,0,8,6,4,6,21,Male,White or Caucasian,3
153,578163a5c6144900014a0d21,ES,Absent,3.5,30.5,0.5,1,5,5,7,8,2,3,6,5,5,16,2.5,15,15,15,15,40,0,0,5,8,5,7,29.5,Male,White or Caucasian,7
154,63ab3ee06432054a083dca61,ES,Absent,3.5,18,0.5,5,8,10,10,10,2,0,7,9,10,26,0,10,10,10,10,50,10,2,10,10,0,10,59.5,Female,White or Caucasian,7
155,59d4c100078dbe0001951236,ES,Absent,4.666666667,30.5,2.5,5,9,10,10,10,1,0,10,9,9,28,50,20,0,0,60,0,20,10,9,10,8,9,39.5,Female,White or Caucasian,10
156,63c9228431382693b06fdc4a,ES,Absent,3,18,2.5,6,6,7,7,8,1,1,8,6,6,20,10,25,25,0,0,25,25,2,4,8,6,8,59.5,Male,White or Caucasian,10
157,5ff7191fc4d15f3308c4365c,BIO,Absent,3.333333333,18,2.5,4,7,8,7,8,0,0,8,5,8,21,5,10,20,10,20,10,30,20,9,7,9,10,21,Male,White or Caucasian,5
158,57dc590ddcda780001a0e157,BIO,Absent,3.166666667,1,0,2,10,10,10,10,0,0,5,6,10,21,0,5,10,50,5,20,10,5,10,5,10,1,69.5,Female,White or Caucasian,1
159,64874ebb817e22a5cb2f325f,BIO,Present,3.333333333,30.5,0.5,5,8,8,8,8,0,0,7,7,7,21,20,20,5,15,20,30,10,2,7,7,10,8,59.5,Male,White or Caucasian,5
160,5e1e1fe3c3409905e7565c83,ES,Present,3.166666667,2.5,0,4,5,9,7,10,2,1,10,3,10,23,1,0,94,0,1,5,5,2,0,10,7,0,21,Male,White or Caucasian,4
161,5e370bc58390cf6992ba7b1f,ES,Absent,3.5,18,0.5,5,5,5,9,9,4,4,8,6,8,22,5,10,40,5,20,15,10,2,8,9,5,6,39.5,Male,White or Caucasian,3
162,601b137a1e2f3c47fb566272,BIO,Present,3.833333333,30.5,0.5,5,5,5,8,8,3,3,6,3,8,17,5,20,0,0,70,0,10,5,7,10,10,10,69.5,Male,White or Caucasian,6
163,5fdf5df1a4d824782ad3e9e2,BIO,Absent,2.666666667,18,0,1,6,9,8,10,2,1,7,5,5,17,10,10,30,0,30,20,10,5,10,6,10,10,59.5,Female,White or Caucasian,4
164,6053e01a6a8e8516ba7d47a7,BIO,Present,3.5,30.5,0.5,5,7,7,8,9,1,2,9,6,8,23,5,5,60,10,0,20,5,20,6,8,10,6,59.5,Male,White or Caucasian,1
165,612f350052a72eaeac5b9703,BIO,Present,2.333333333,2.5,0.5,4,6,6,7,8,1,2,3,1,2,6,1,0,0,0,0,0,0,0,6,6,8,7,69.5,Female,White or Caucasian,4
166,599f00c54d25e800012fc9a6,BIO,Absent,2.166666667,0,0,2,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,100,0,1,1,9,1,39.5,Male,White or Caucasian,5
167,64135752c268bf135f778144,ES,Absent,3.166666667,18,18,6,7,8,8,8,1,0,6,6,7,19,20,30,20,10,20,0,20,10,7,8,8,5,29.5,Male,White or Caucasian,2
168,577a3dfd92c50c0001c9488f,BIO,Present,3.833333333,18,2.5,5,7,7,9,9,2,2,6,6,2,14,5,20,20,10,20,10,20,5,9,5,10,7,59.5,Male,White or Caucasian,7
169,5f52a12f0e44f31687ccdff1,ES,Present,2.333333333,4.5,0,1,8,5,10,9,2,4,10,6,7,23,10,20,40,5,10,20,5,20,6,10,6,7,21,Female,Other,3
170,62a447d91e71bfacd2e8c006,ES,Absent,4.666666667,30.5,0.5,4,10,10,9,10,-1,0,6,0,8,14,0,0,20,0,50,0,30,2,5,7,7,5,59.5,Female,White or Caucasian,9
171,6310c36882f794498b84632a,ES,Present,4,18,0.5,4,5,5,9,10,4,5,8,4,10,22,0,10,20,10,10,30,20,2,6,7,7,8,29.5,Male,White or Caucasian,10
172,629f29bba83fd984e99463b1,ES,Present,2.5,2.5,0.5,1,5,5,8,8,3,3,8,6,7,21,5,5,10,20,25,25,15,10,8,7,8,7,29.5,Female,White or Caucasian,10
173,60ed8b9aa9275e30071f2e86,BIO,Absent,2.666666667,18,1,5,5,5,7,8,2,3,6,3,6,15,0,25,5,25,15,15,15,0,6,7,10,7,49.5,Male,White or Caucasian,4
174,5df107f801423f000ddb0101,BIO,Present,3.166666667,0.5,0.5,4,9,9,9,9,0,0,8,6,6,20,1,0,100,0,0,0,0,0,8,9,9,9,69.5,Male,White or Caucasian,7
175,6310abc5b4e10681057997de,ES,Present,2.333333333,2.5,1,1,4,6,9,10,5,4,7,6,8,21,1000,15,30,15,5,30,5,0,9,8,8,8,49.5,Male,Other,5
176,5fed47cfcb429d79af4f8ded,ES,Absent,1.833333333,2.5,0,2,5,9,8,10,3,1,6,3,8,17,3,10,15,35,20,15,5,0,3,10,2,2,21,Male,White or Caucasian,2
177,63d46d8a90e399cfb7d022a5,ES,Present,2.833333333,4.5,0.5,1,5,5,8,9,3,4,8,7,7,22,0,5,25,10,5,50,5,0,9,10,9,9,59.5,Male,White or Caucasian,8
178,62e168ac999a6d7b26c2f432,BIO,Present,3,2.5,0,2,5,7,9,8,4,1,6,7,9,22,10,0,25,5,20,40,30,0,7,4,9,8,59.5,Female,White or Caucasian,1
179,60b8a2ea5eb4ad8ae98302f9,BIO,Absent,3.333333333,18,0.5,3,8,8,9,10,1,2,8,7,9,24,10,20,20,20,20,20,0,5,9,2,10,6,39.5,Female,Other,10
180,63e3e131989797203dc063fc,BIO,Present,2.5,18,18,1,6,6,8,8,2,2,7,7,7,21,0,0,100,0,0,0,0,0,6,7,7,7,21,Male,White or Caucasian,8
181,6308b9ca03d2eaafb6222e33,ES,Present,3.666666667,30.5,2.5,4,8,8,8,9,0,1,8,7,7,22,10,30,45,0,10,10,5,4,7,7,7,5,59.5,Female,White or Caucasian,6
182,62b4370c9a89e5a09c4447de,ES,Absent,3.166666667,4.5,0.5,1,6,5,10,10,4,5,9,9,9,27,5,5,30,25,5,30,5,2,9,9,9,9,39.5,Female,Other,5
183,5f55f7a96ef59e9d38e499ae,BIO,Absent,4.5,2.5,0.5,4,10,10,10,10,0,0,10,10,10,30,10,10,0,0,50,0,40,15,10,8,10,10,69.5,Female,White or Caucasian,2
184,62f0f033178f89dd6f416590,BIO,Absent,2.666666667,1,0.5,3,7,7,9,10,2,3,7,4,8,19,2,2,80,2,2,10,4,2,8,1,10,4,69.5,Female,White or Caucasian,9
185,5db31089a1f8d3000c10a6c5,BIO,Present,2.833333333,1,0.5,2,5,6,6,7,1,1,6,5,6,17,5,5,20,20,10,40,5,20,6,6,7,7,59.5,Female,White or Caucasian,10
186,58d0632c2fc72000011f8c57,BIO,Present,3.833333333,18,2.5,6,8,9,9,9,1,0,9,8,9,26,5,0,20,20,20,20,20,18,8,7,10,9,49.5,Male,White or Caucasian,6
187,5f20817e92b4d83793b52912,ES,Absent,2.833333333,2.5,0.5,5,8,7,8,7,0,0,2,0,2,4,0,20,0,0,30,20,30,5,6,7,8,7,59.5,Female,White or Caucasian,9
188,5b5345492a4d0c0001ae2e12,BIO,Present,3.166666667,18,0.5,4,5,7,7,10,2,3,7,0,4,11,1,10,90,0,0,0,0,5,6,2,10,6,29.5,Male,Other,2
189,60fac7ec133b6bf250d6d668,BIO,Absent,3.833333333,30.5,1,5,5,5,8,8,3,3,7,4,7,18,0,5,30,25,20,5,15,3,7,8,9,9,21,Male,White or Caucasian,4
190,5bba872c26ada60001e395e3,BIO,Absent,4,18,2.5,4,6,6,7,9,1,3,9,9,10,28,1,10,30,20,15,15,5,1,10,3,9,8,29.5,Male,White or Caucasian,6
191,5c81582c4c1a61000155584f,BIO,Present,1.5,0,0,1,10,5,10,10,0,5,0,0,0,0,0,0,25,25,0,50,0,0,9,7,10,9,49.5,Male,Other,1
192,5dc68e918a84464c2e4fe929,ES,Absent,4.666666667,2.5,1,1,6,0,9,9,3,9,9,9,9,27,50,10,10,10,50,15,5,5,6,8,8,7,49.5,Female,Other,9
193,5d04c56a0b54cc0001dad608,ES,Absent,3.5,18,0.5,1,3,8,1,0,-2,-8,7,6,1,14,0,5,35,20,5,30,5,0,5,8,8,8,59.5,Female,White or Caucasian,8
194,5ee64d0bf796cb3b252a8c99,ES,Present,4.666666667,4.5,1,4,9,10,10,10,1,0,8,9,9,26,10,20,20,0,20,20,20,3,9,8,9,9,59.5,Male,White or Caucasian,10
195,61572aeab6ac8a5fe94b43b4,BIO,Absent,2.666666667,4.5,0.5,1,5,8,8,8,3,0,5,3,2,10,2,15,0,0,70,15,0,0,5,8,8,8,59.5,Male,White or Caucasian,3
196,5ce9b0e4be5a6b00163f6870,BIO,Present,4.333333333,18,1,5,10,10,10,10,0,0,9,10,10,29,25,15,0,15,0,20,50,4,9,7,10,8,59.5,Male,White or Caucasian,8
197,57b4aaf1cda70d0001534838,ES,Present,3.5,2.5,0.5,6,6,6,7,6,1,0,6,1,8,15,0.5,50,50,0,0,0,0,2,7,8,7,7,69.5,Male,White or Caucasian,4
198,5f501d8211a2531866f6fb6d,BIO,Present,4.166666667,4.5,1,1,8,8,8,9,0,1,9,8,8,25,1,15,20,15,15,15,20,1,8,8,9,9,59.5,Male,White or Caucasian,1
199,62fcee59c17dc43614dcbcf6,ES,Present,3.333333333,18,0.5,5,5,5,9,9,4,4,8,3,8,19,10,10,5,10,30,5,40,2,9,10,5,6,29.5,Male,White or Caucasian,9
200,5d62561ef0dd0700192ebf3f,ES,Absent,3.666666667,18,0.5,4,5,5,8,8,3,3,5,5,7,17,1,5,35,15,15,15,15,1,6,8,8,8,21,Female,White or Caucasian,9
201,5c3f0b7ca98c4c000111fee2,BIO,Present,2.833333333,30.5,0.5,4,7,9,9,9,2,0,8,2,9,19,5,15,20,20,15,15,15,3,9,8,10,9,59.5,Male,White or Caucasian,7
202,5e77c76ddec45632bb889d42,ES,Present,3.5,18,2.5,4,7,7,9,10,2,3,9,7,9,25,10,20,20,10,20,10,20,5,8,9,7,8,29.5,Female,White or Caucasian,8
203,62e0230b16c7be0cfce852f5,ES,Present,3.333333333,4.5,2.5,2,6,8,7,9,1,1,4,8,9,21,5,20,15,15,15,15,20,10,7,8,5,4,29.5,Male,White or Caucasian,7
204,5c478dae685da800014c8119,ES,Absent,3.166666667,18,0.5,1,6,7,3,9,-3,2,3,1,6,10,2,20,25,10,15,20,10,1,7,10,6,8,29.5,Male,White or Caucasian,3
205,5c5341722a52960001fe2420,BIO,Absent,2.666666667,18,0.5,1,5,5,7,9,2,4,7,0,7,14,0,0,0,50,0,50,0,5,6,1,10,1,29.5,Female,Other,1
206,5f6c423e8071b21b35b07ea6,BIO,Present,2.166666667,18,0,1,5,6,5,6,0,0,0,0,0,0,0,0,50,5,20,20,5,0,3,1,10,0,59.5,Female,White or Caucasian,5
207,6237846b5bea67dd2f13f301,ES,Present,3,4.5,0,2,3,6,8,10,5,4,6,6,3,15,0,5,30,5,10,50,0,18,10,10,0,0,49.5,Female,White or Caucasian,3
208,609eda349f5d29975fbc2145,BIO,Present,2.833333333,18,0.5,2,4,5,6,7,2,2,8,8,8,24,5,10,30,20,20,10,10,0,8,8,8,8,39.5,Female,White or Caucasian,7
209,5e90a3adb3e1243bdcfaf973,ES,Present,2.333333333,2.5,0.5,2,6,8,7,8,1,0,7,8,8,23,0,0,20,10,10,50,10,0,2,4,4,6,39.5,Other,Other,3
210,63f3627e35e0e400ca50c26b,BIO,Absent,2.333333333,30.5,0.5,1,7,5,8,10,1,5,7,5,8,20,0,10,10,20,20,20,20,5,10,7,10,7,59.5,Female,White or Caucasian,7
211,568e997ce3ef9e000ca204d4,ES,Absent,2.333333333,30.5,0,5,4,6,8,10,4,4,1,1,1,3,0,0,0,0,0,0,0,0,8,7,7,7,69.5,Male,White or Caucasian,4
212,5f6c958fba8103059c7b30cd,BIO,Absent,3.166666667,1,1,4,8,8,8,9,0,1,6,7,7,20,0,20,40,5,5,25,5,5,7,6,10,6,21,Male,White or Caucasian,2
213,5d24dfa45bb1fe001897995b,BIO,Absent,2,2.5,0.5,2,5,5,9,8,4,3,6,3,8,17,0,0,25,50,0,25,0,0,7,3,10,5,69.5,Female,White or Caucasian,1
214,642c006ab77c5c86b854e95a,ES,Present,3.666666667,18,1,1,6,8,7,8,1,0,6,5,6,17,2.5,75,25,0,0,0,0,0,6,7,7,6,69.5,Male,White or Caucasian,5
215,611578fe8cbea39bf4928b6d,ES,Absent,3.166666667,4.5,1,2,5,5,7,8,2,3,5,5,5,15,10,18,18,18,18,18,10,0,7,7,7,7,59.5,Male,White or Caucasian,1
216,62e2e5216c731eebbe5385a0,BIO,Absent,2.333333333,2.5,0,6,5,5,9,8,4,3,3,1,4,8,0,0,50,20,10,20,0,0,7,1,10,5,29.5,Male,White or Caucasian,7
217,632b19a12e685b61f1ac6508,ES,Present,3.5,30.5,1,2,6,8,8,10,2,2,7,7,9,23,10,20,20,20,20,20,0,10,1,10,10,10,39.5,Male,White or Caucasian,8
218,6377b2f86b8b9b469d7cee77,BIO,Absent,3.666666667,1,0,6,6,7,8,9,2,2,6,6,7,19,10,20,15,20,15,20,10,2,9,8,10,8,59.5,Male,White or Caucasian,5
219,5d67c360a760d40018bf5428,ES,Present,3.5,30.5,2.5,2,10,8,9,10,-1,2,10,10,10,30,10,10,10,10,10,10,10,0,10,9,8,10,21,Male,Other,5
220,5f4fc59aab8e460ca4a9a8b0,ES,Absent,1.333333333,2.5,2.5,4,5,5,6,7,1,2,1,1,2,4,0,10,50,10,10,10,10,0,6,9,2,2,29.5,Male,White or Caucasian,6
221,5ea01b4b2d7b4d0243d93f78,ES,Present,3.833333333,4.5,0.5,1,9,10,10,10,1,0,8,5,10,23,1,30,35,5,5,5,20,20,7,9,10,10,79.5,Male,White or Caucasian,10
222,5ee4d9a391a7f31d5c960868,BIO,Absent,3.166666667,4.5,2.5,4,6,8,8,9,2,1,7,5,8,20,10,40,10,0,40,5,5,10,8,5,9,5,29.5,Female,White or Caucasian,2
223,644182ee572368b72f681f4b,BIO,Absent,3.666666667,30.5,1,4,5,5,9,9,4,4,8,7,7,22,5,0,0,0,100,0,0,0,6,10,10,10,59.5,Female,White or Caucasian,7
224,5a8d38971904200001563f47,ES,Present,3.666666667,18,2.5,2,7,8,7,8,0,0,9,9,9,27,5,10,25,25,10,20,10,5,6,8,5,5,29.5,Female,Other,2
225,5e76a0814ffe9920e5725c56,BIO,Present,3.5,1,0.5,4,5,6,6,6,1,0,7,10,4,21,50,10,40,20,10,20,0,25,4,9,8,8,39.5,Female,Other,5
226,622a29743b7c0ca5eee56e24,BIO,Present,3.166666667,18,0.5,1,6,6,7,8,1,2,5,5,6,16,10,5,10,30,15,40,0,2,6,4,9,5,69.5,Male,White or Caucasian,10
227,60ff1f78061fc7decaf31f11,ES,Present,2.833333333,0,0,1,7,6,7,10,0,4,8,7,5,20,1,20,20,20,10,10,10,5,7,7,8,8,29.5,Male,Other,3
228,5ea8a995ffcc05306ff0d6db,BIO,Absent,3.333333333,18,0,5,9,10,10,10,1,0,8,8,8,24,1,25,5,25,15,20,10,5,8,7,10,7,29.5,Male,White or Caucasian,9
229,63bf01914983c66626c67b6c,ES,Present,4.166666667,18,0.5,5,8,10,8,10,0,0,7,5,7,19,0,50,0,0,0,0,50,2,8,7,8,7,69.5,Male,White or Caucasian,6
230,62a4d721a9d118a25be1ed3f,BIO,Present,4.5,2.5,0.5,2,7,7,8,8,1,1,6,6,5,17,0,0,25,0,25,25,25,0,2,2,9,5,49.5,Male,White or Caucasian,6
231,63469dea28db787106cf354c,ES,Present,3.166666667,0.5,0.5,5,5,5,5,5,0,0,1,0,1,2,0,0,0,0,100,0,0,0,5,8,5,6,29.5,Male,White or Caucasian,9
232,60bbacbdbc9006c3e6fc64ac,BIO,Absent,3.5,4.5,0.5,1,8,10,8,10,0,0,7,7,9,23,5,0,0,0,20,5,10,20,2,1,10,5,39.5,Male,White or Caucasian,4
233,5fcca7bf6a7182b003b32a36,ES,Present,3.333333333,4.5,0.5,4,7,6,8,9,1,3,7,0,1,8,0,5,2,10,45,5,33,0,8,10,7,8,49.5,Male,Other,10
234,5cd1b76f41dacf0001dddef8,BIO,Absent,2,18,0,1,5,5,10,10,5,5,5,5,3,13,0,10,50,10,10,20,0,1,7,1,10,7,29.5,Female,White or Caucasian,3
235,5f4b9740fdda0b04d86a533c,ES,Absent,4.166666667,30.5,0.5,2,10,10,10,10,0,0,10,10,10,30,10,0,20,20,20,20,20,6,5,10,10,10,39.5,Male,White or Caucasian,9
236,5de3d4fc1d61c93cd498bb92,BIO,Present,3.333333333,0.5,0,1,6,6,6,6,0,0,6,0,0,6,0,25,0,0,50,25,0,0,5,5,7,5,49.5,Male,White or Caucasian,5
237,63b2d04ed0f53f75de4ba38e,ES,Absent,3,18,0.5,4,8,6,7,6,-1,0,5,5,5,15,0,20,60,0,10,10,0,2,6,9,9,9,69.5,Female,White or Caucasian,5
238,647c6fee0154d31db59c796e,ES,Present,3.833333333,18,2.5,6,8,8,10,10,2,2,7,6,6,19,0,5,5,0,90,0,0,3,8,8,8,7,49.5,Male,White or Caucasian,1
239,5f61f7f59df6ca1bfe6a8a89,ES,Absent,3.666666667,4.5,0,6,8,10,10,10,2,0,5,0,8,13,0,20,0,0,40,10,30,2,8,10,10,10,59.5,Female,White or Caucasian,6
240,5f5fc58bfcb0db07c6c64d9e@email.prolific.co,ES,Absent,4.333333333,18,0.5,5,10,10,10,10,0,0,10,10,10,30,20,20,20,20,20,10,10,15,8,10,10,10,49.5,Female,White or Caucasian,5
241,5c87790e4b0de20001352297,ES,Present,4.333333333,30.5,0.5,2,8,10,9,10,1,0,9,8,8,25,2,10,30,10,20,20,10,2,10,10,7,8,69.5,Male,White or Caucasian,5
242,63cf05631552a8d1b2348bd6,BIO,Present,3.333333333,2.5,0.5,4,7,7,7,7,0,0,6,2,6,14,10,50,0,0,0,50,0,0,7,2,8,5,69.5,Female,White or Caucasian,2
243,6311ce49a8ff9e911cef73b5,BIO,Absent,3.333333333,4.5,1,5,5,10,7,10,2,0,9,9,10,28,2,0,70,5,5,15,5,2,3,5,9,9,59.5,Male,White or Caucasian,1
244,5cc0813b8c322e00159125b3,ES,Present,4,18,2.5,5,10,10,10,9,0,-1,6,5,7,18,0,2,5,10,20,20,43,1,9,10,10,10,39.5,Male,White or Caucasian,8
245,610b115d45797ba46b20aa4c,BIO,Present,3.166666667,18,1,4,6,8,8,8,2,0,7,5,6,18,2,10,20,15,5,25,25,0,6,7,7,7,21,Male,White or Caucasian,7
246,5803cb9a3073510001231d82,BIO,Present,3.833333333,30.5,0.5,2,5,10,9,10,4,0,7,5,9,21,2,40,0,0,10,10,40,2,9,9,10,10,59.5,Female,White or Caucasian,8
247,5bd46b622ef2f00001d29636,ES,Absent,3,4.5,0.5,2,8,9,9,9,1,0,6,2,8,16,0,0,40,10,20,0,30,0,5,8,6,4,59.5,Male,White or Caucasian,9
248,5c5dd15d6474da000173e397,ES,Absent,2.333333333,0.5,0.5,4,7,8,10,10,3,2,6,6,8,20,10,25,15,10,10,20,20,0,8,8,8,9,69.5,Female,White or Caucasian,1
249,629382914e43b1736f2b1233@email.prolific.co,BIO,Present,2.666666667,2.5,0.5,5,5,6,4,6,-1,0,0,0,0,0,10,10,10,20,10,40,10,0,8,7,9,5,59.5,Female,White or Caucasian,7
250,6149d5f45bf0224465552803,ES,Present,3.5,2.5,0.5,5,5,6,9,8,4,2,6,5,6,17,0,0,50,0,0,50,0,5,6,6,7,6,21,Female,White or Caucasian,10
251,6151e0ef0e9ddaac501531bc,ES,Present,3.333333333,18,0.5,4,5,6,4,6,-1,0,5,5,5,15,1,10,25,0,25,15,20,1,6,8,8,8,49.5,Female,White or Caucasian,9
252,588f32d59c4f3f00010f1471,BIO,Absent,3.166666667,18,0.5,4,6,7,10,10,4,3,4,4,5,13,0,10,50,10,10,10,10,5,6,10,10,8,59.5,Male,White or Caucasian,4
253,5ec267e5d4cb3e02f37e3ea0,ES,Present,3.333333333,0.5,0.5,4,7,7,5,8,-2,1,7,7,7,21,0,0,0,0,0,0,0,0,7,8,8,8,29.5,Male,Other,5
254,63dcf52406a122c6bdcd054c,BIO,Present,4.166666667,30.5,4.5,5,8,8,8,9,0,1,10,5,10,25,0,0,10,0,0,5,0,2,9,8,10,8,49.5,Male,White or Caucasian,6
255,5bf7290ed5ec8200015d07e7,BIO,Absent,3.833333333,2.5,0,4,5,5,7,7,2,2,7,5,7,19,10,10,20,20,20,10,20,15,10,10,10,10,49.5,Male,White or Caucasian,8
256,61502dee7a3a5468adbb2222,ES,Present,4,30.5,0.5,6,6,7,9,9,3,2,8,8,8,24,10,20,20,10,20,10,20,5,8,9,9,9,39.5,Male,White or Caucasian,8
257,613c9c83c9cd63d09d4ed300,BIO,Absent,4.166666667,4.5,0,1,7,5,10,10,3,5,10,10,10,30,20,20,10,20,20,10,20,5,4,0,10,10,39.5,Female,Other,6
258,610ffda8d0e92eb41306e013,BIO,Absent,3.5,18,2.5,2,7,8,7,8,0,0,6,6,6,18,5,5,25,5,25,35,5,5,7,6,8,8,39.5,Female,White or Caucasian,6
259,5e0b3d5dbf3d4e3868abc3ea,ES,Present,3.666666667,4.5,2.5,1,8,8,6,7,-2,-1,6,8,3,17,50,5,5,5,43,37,5,5,6,5,4,6,49.5,Male,White or Caucasian,1
260,571A861,BIO,Absent,2.333333333,4.5,1,4,5,5,9,9,4,4,1,0,1,2,0,0,1,0,1,5,0,0,7,2,10,3,49.5,Male,White or Caucasian,1
261,64491afdfd7c9850dbe34166,BIO,Absent,4.333333333,2.5,0.5,2,4,8,7,8,3,0,7,8,8,23,10,5,40,5,15,30,5,5,8,5,10,7,49.5,Female,White or Caucasian,8
262,63ee83df5015f67fd11ce773,ES,Present,4,30.5,0.5,6,6,8,7,8,1,0,7,6,4,17,10,5,0,0,95,0,0,1,6,9,7,5,49.5,Female,White or Caucasian,7
263,5af5a5c3226ed5000133d67c,ES,Absent,4,18,0.5,5,8,10,10,10,2,0,9,7,7,23,25,20,20,15,15,15,15,5,10,10,2,5,49.5,Male,White or Caucasian,7
264,62791ff343fc8744f55246f2,ES,Present,4,30.5,2.5,1,7,7,9,9,2,2,8,7,8,23,5,20,20,20,10,10,20,5,8,9,8,8,29.5,Male,White or Caucasian,10
265,5e9f2625ca63330979a160c5,ES,Absent,4.166666667,18,0.5,2,5,5,8,9,3,4,7,6,9,22,0,15,10,10,20,10,35,0,6,10,3,10,29.5,Male,White or Caucasian,4
266,56f99190895094000b922acf,BIO,Present,4,4.5,1,4,5,5,9,9,4,4,8,9,9,26,1,10,10,5,25,50,0,0,9,5,10,5,59.5,Female,White or Caucasian,1
267,56c5c6489b720300057af888,BIO,Present,3.833333333,2.5,0.5,4,8,8,8,8,0,0,5,3,7,15,0,10,10,0,40,30,10,0,8,8,9,8,59.5,Female,White or Caucasian,10
268,603e84eb880ceef4586db3d4,ES,Absent,3.333333333,1,0,2,7,5,7,7,0,2,5,2,5,12,0,0,10,0,15,75,0,1,9,10,10,10,59.5,Female,White or Caucasian,10
269,5d64426653ba680017d9f63a,BIO,Present,4.333333333,18,2.5,2,8,10,10,10,2,0,9,9,8,26,10,10,50,10,10,10,10,5,10,5,10,8,29.5,Male,White or Caucasian,5
270,63f226e602d56e2ab3623b2f,ES,Absent,3.5,18,0,4,8,9,9,9,1,0,5,5,5,15,0,10,50,10,10,10,10,5,7,8,6,8,69.5,Female,White or Caucasian,9
271,606f3f211a706092471de8f1,BIO,Absent,4.833333333,4.5,2.5,5,8,9,9,10,1,1,7,5,5,17,0,10,10,0,70,0,10,18,8,1,10,8,49.5,Female,White or Caucasian,9
272,5bcf6b423a99c40001542fa1,ES,Absent,2.333333333,30.5,0,2,9,10,9,10,0,0,6,6,0,12,0,2,90,0,0,0,8,1,9,6,9,4,69.5,Male,White or Caucasian,7
